2270-2-8-3,7458-63-83-18
3222-68-61-4,2353-62-59-77
8496-75-81-32,7139-66-95-67
180-81-57-52,7749-1-88-72
7732-97-25-25,501-55-85-71
7864-42-89-33,516-40-66-45
6328-3-29-32,5734-20-83-22
798-10-2-90,3929-40-19-20
6444-87-12-10,8761-87-72-46
2230-82-43-87,6869-56-14-6
677-59-68-83,3847-47-72-91
8979-85-28-56,517-1-98-46
5980-65-23-84,4306-11-24-85
2802-60-54-72,7950-3-19-77
4735-64-33-88,6529-17-91-23
9870-20-32-84,2725-12-36-97
3364-34-38-3,8977-82-99-76
5877-52-98-59,5108-13-42-18
6825-72-47-49,2808-25-76-55
3615-38-34-94,9841-93-23-42
2453-50-34-8,5722-17-91-79
4412-42-95-49,3729-30-20-20
8195-16-87-31,1963-43-26-2
6646-23-22-63,7953-14-48-45
8658-15-79-38,8673-85-38-12
2489-30-50-51,5271-91-43-90
3132-4-32-36,6704-98-43-83
3357-40-17-54,1111-19-65-15
5975-81-88-68,2463-25-63-93
2895-16-30-40,4736-73-20-51
6750-55-43-23,51-97-44-74
2624-76-79-19,315-93-58-64
9755-77-62-72,6242-48-53-9
6202-89-18-72,2732-18-29-27
5966-34-17-47,1635-66-69-98
104-60-25-75,2447-27-9-14
1395-85-66-83,4242-50-2-80
6099-57-69-17,6156-66-59-80
2794-64-77-54,9835-9-56-76
8101-85-64-42,8356-5-87-67
6872-25-57-92,5467-51-71-58
2093-73-9-97,7594-89-33-41
350-21-82-66,2765-17-63-85
748-73-40-50,2223-5-18-96
7817-14-47-82,4742-10-59-16
6705-13-39-12,6847-65-24-84
9506-30-64-46,1150-83-68-86
5426-1-95-87,4284-69-73-20
4564-99-18-30,5235-55-98-64
5228-91-31-95,9575-66-8-54
1834-19-94-45,4684-80-98-43
6497-13-3-28,5099-47-89-78
2522-70-65-82,1903-66-90-52
7365-27-56-43,4409-62-93-7
7065-15-17-43,4711-55-83-48
5116-89-56-2,2861-53-54-83
6332-42-50-12,4046-54-18-64
7708-49-51-43,8052-17-12-4
2021-2-82-6,9719-84-76-44
7328-90-30-77,4065-43-37-5
2108-31-5-31,8121-33-84-62
2528-13-67-3,6370-90-74-7
7733-11-88-46,7370-80-74-85
2669-46-66-97,5927-52-93-89
1672-98-49-68,1131-94-27-42
6481-50-19-13,9323-55-75-17
8818-45-60-1,551-89-20-64
9176-6-6-78,6561-88-24-6
2596-33-39-39,1305-22-51-37
6417-20-74-75,6097-36-85-73
9871-20-20-74,8348-7-77-59
3735-44-53-44,9760-11-69-67
8449-93-42-81,7195-25-63-4
2517-60-42-37,1984-67-51-19
2246-41-27-98,5385-64-69-75
8028-16-27-34,8066-9-40-65
5134-2-89-77,579-65-47-3
1318-23-40-26,2541-57-95-94
757-10-35-68,175-32-44-77
3164-21-1-2,2449-32-3-9
1865-6-55-53,8871-23-47-76
585-54-85-34,3778-13-42-72
1531-98-95-36,1120-12-87-80
6138-94-13-52,7722-43-3-76
8812-50-10-24,2657-44-48-26
5180-49-86-62,8045-42-46-2
7571-19-32-9,4199-19-84-77
7090-67-13-76,7253-55-80-51
666-31-72-19,5696-9-93-77
7871-3-7-93,9232-13-95-89
3617-59-18-14,1893-54-27-6
8704-42-26-25,2415-40-80-29
1241-82-6-48,8398-56-55-87
9010-53-98-58,5990-72-52-63
6269-19-92-56,707-94-60-78
7069-25-53-18,4029-92-74-51
5995-73-4-19,7773-64-96-44
9091-30-47-63,5862-19-46-68
6765-88-53-75,8561-43-58-63
2241-34-46-52,9547-88-3-7
1839-28-43-44,1795-65-81-15
8229-15-60-2,1335-38-66-41
2933-84-84-58,2820-93-55-95
9366-81-26-5,2427-99-74-2
9119-19-13-91,1324-50-81-21
3930-65-23-48,9955-82-64-85
2453-25-58-61,3211-87-1-15
4504-56-58-68,5108-97-24-9
7312-46-83-31,9569-19-39-99
4385-80-34-98,6358-12-86-7
9812-95-59-50,2411-15-60-40
4864-90-10-23,7317-82-69-16
1756-73-86-94,8076-73-39-16
5044-81-52-44,6411-28-24-9
899-2-58-61,3782-89-52-41
4226-48-95-49,2942-23-29-99
1447-62-73-88,6356-69-72-58
4723-55-91-27,5789-47-83-92
449-31-37-77,8559-98-27-15
368-84-6-87,182-69-81-17
8255-68-4-29,9343-44-44-74
1013-52-98-11,1513-64-68-3
467-30-14-65,5985-13-60-31
5206-66-47-19,9812-5-56-57
1789-39-59-61,2888-86-52-63
8570-11-52-12,778-40-78-12
5689-14-10-70,7970-27-90-89
2998-10-54-1,1600-55-8-76
7396-3-75-78,514-71-64-64
3803-84-61-50,8117-81-53-32
7551-25-94-5,872-78-62-5
4007-78-82-8,699-49-63-85
7074-37-52-62,7443-90-9-20
3465-7-22-78,7148-42-53-77
6056-92-42-25,6822-76-44-69
4738-54-68-2,925-11-3-65
921-22-93-64,6427-96-80-93
7469-30-86-10,9050-12-54-33
6658-62-23-76,8931-86-71-85
3665-66-91-10,8101-35-79-26
4140-21-7-87,3270-96-70-90
6816-23-56-19,3368-98-58-12
3228-44-85-20,1429-51-4-25
5584-6-37-42,4880-30-67-43
1774-36-66-22,7628-19-38-13
3218-5-45-40,3049-84-40-44
5159-35-68-76,6530-13-44-34
7416-12-99-4,6521-95-25-98
4200-23-8-20,81-21-36-8
8606-38-97-14,5380-68-70-79
1159-74-68-25,1922-47-27-51
7564-26-24-24,8641-61-49-55
8393-42-55-86,175-8-91-61
5214-83-67-39,4317-31-98-36
3706-48-91-3,160-59-8-16
4994-29-86-95,8490-22-8-50
3845-91-20-91,5334-94-59-50
1322-6-92-61,2420-2-73-79
1281-41-48-8,2534-22-50-71
9388-49-49-87,152-49-45-98
6311-63-58-15,7595-7-33-36
6761-62-4-11,3064-6-34-77
6671-80-2-72,27-66-36-11
2136-87-34-29,7209-30-46-95
5968-54-13-32,5131-46-51-50
9753-17-12-20,1883-9-83-96
352-6-75-15,3699-75-69-1
8816-45-76-68,331-79-81-27
7441-45-3-36,1019-74-29-80
5777-86-63-71,6460-6-47-56
5156-49-50-95,9772-18-39-87
1654-7-94-19,8246-34-51-60
8551-15-81-3,1989-32-82-59
5365-65-23-21,2836-75-59-91
8444-43-33-11,829-47-51-9
933-83-83-39,3647-99-52-82
1079-44-78-99,8870-16-28-83
1513-8-72-55,8899-16-36-19
5575-23-36-86,2848-85-59-12
3116-27-63-36,5683-6-32-26
7393-91-29-68,7719-40-1-87
1540-17-23-26,6582-93-72-15
2926-51-95-48,5964-17-21-89
3650-50-36-20,4275-98-86-71
8238-27-44-28,7032-52-57-48
283-22-27-69,2877-31-86-82
3107-72-22-30,8983-91-42-12
3372-52-66-8,2538-21-46-91
35-59-86-62,692-57-26-13
439-47-21-50,3801-28-50-83
7425-42-66-25,883-52-60-20
3960-95-95-93,2663-95-25-89
1952-76-98-26,3788-24-11-68
7868-95-10-84,8707-85-35-51
4570-38-55-21,968-91-87-58
9838-75-56-63,6416-5-45-68
6968-98-43-12,9244-17-46-17
7978-75-63-56,926-48-55-71
5126-28-94-29,7429-11-42-92
2595-3-67-96,2220-64-22-66
70-65-27-24,5727-56-83-54
7562-41-33-70,4412-60-11-5
3503-11-83-7,7330-66-26-92
1891-1-73-88,3900-82-14-73
441-86-75-69,480-99-32-37
2579-4-92-26,8097-17-76-52
652-20-67-37,426-74-41-53
2232-40-21-28,7309-24-65-56
7033-70-35-7,4641-53-2-47
7360-66-82-89,8300-27-51-29
8352-87-78-24,185-94-29-59
8528-53-82-33,2215-36-26-93
5467-83-6-16,8361-1-55-17
6520-14-49-61,5939-17-34-78
1490-74-55-56,2016-3-35-2
6925-48-63-48,263-74-43-92
2238-77-46-88,5923-85-76-2
170-50-44-41,2054-74-61-55
8868-16-27-21,3604-52-25-82
3869-97-67-22,1353-1-15-76
4286-91-7-9,995-92-82-36
6244-20-41-61,9204-13-41-3
9751-89-26-3,378-40-58-71
2894-14-99-24,6688-29-8-30
1369-97-93-95,8026-86-9-83
7605-49-6-52,1767-75-13-67
1815-88-26-24,7970-59-41-72
9394-91-22-94,9441-71-8-35
2966-39-34-13,2902-52-53-86
8850-77-9-18,7599-6-96-60
6475-65-43-91,6214-99-91-49
9982-92-67-59,9009-36-70-28
1304-15-39-25,870-98-61-93
8250-92-61-79,2980-95-58-57
3410-65-34-92,3472-42-34-2
8756-51-4-77,4847-86-4-96
3709-41-62-47,2939-39-81-98
9199-78-36-52,7673-19-98-4
7110-37-93-7,7972-74-2-98
1650-56-65-70,7744-88-60-57
8879-18-76-13,6813-10-21-7
3725-95-20-84,518-48-56-87
8802-76-65-5,50-58-53-90
962-90-77-36,813-29-67-2
3670-67-53-97,7242-80-73-43
7401-82-22-28,5917-78-92-78
2851-40-93-24,6476-21-20-13
3157-64-93-82,3952-43-75-61
6993-80-5-24,5109-77-39-62
2316-36-63-97,5824-59-34-58
6054-18-71-77,169-63-64-83
1655-15-11-60,9026-68-17-45
9230-78-83-88,8927-45-82-58
2271-60-82-55,1891-30-10-71
5168-68-31-38,871-13-1-79
952-41-78-90,1448-4-51-19
2940-83-3-19,6390-15-7-99
3720-76-15-13,665-29-47-55
9298-43-8-39,8181-35-60-10
2714-64-63-54,8300-50-81-40
6746-69-41-31,7769-70-79-78
6364-80-77-75,5397-9-90-20
5152-60-22-69,8531-92-11-37
3857-37-75-2,8737-67-32-93
7739-81-94-94,9115-62-77-25
6726-81-20-58,8257-94-87-9
3995-22-26-15,668-46-76-54
5718-25-28-59,2323-85-84-8
1879-46-87-77,9825-60-55-56
6287-45-36-90,2684-37-33-58
3911-86-76-49,2919-25-63-92
9233-99-84-16,1625-25-14-21
8074-66-86-42,2511-1-70-80
8510-87-29-98,367-99-50-99
7066-25-62-48,5350-84-12-93
7115-85-63-79,2779-21-53-29
7306-82-5-54,2328-88-33-79
4788-50-51-76,8093-2-88-32
102-42-15-8,5213-61-76-9
41-19-94-98,8049-98-69-88
8944-31-27-75,7590-52-69-26
3749-25-2-45,7807-40-41-79
9107-53-15-53,9453-59-5-64
8814-80-52-14,2187-69-63-72
5853-87-66-6,8733-72-44-63
3511-71-35-59,264-17-11-24
7614-93-95-44,4515-51-8-30
8289-74-45-6,1594-26-91-73
7191-14-37-78,4171-88-48-13
3167-7-56-94,7924-73-2-19
79-68-35-31,1866-11-7-57
2487-53-95-25,6735-7-9-51
1905-65-77-90,9707-21-72-83
5946-49-69-77,7701-81-89-44
3594-70-89-20,4824-49-44-71
4384-48-45-43,4460-21-24-18
6584-58-90-51,5008-98-73-1
4993-60-30-50,77-63-92-36
3507-42-77-27,3300-97-52-33
9040-98-80-61,3031-56-31-72
6054-10-76-64,7126-92-88-11
1385-52-82-55,1278-74-19-32
5023-8-70-20,6611-63-95-59
3945-37-45-12,4860-45-88-34
9536-83-27-57,1384-10-28-67
4411-49-31-92,202-11-29-84
4376-26-61-51,7225-23-18-72
6815-87-31-11,9998-21-41-45
9130-16-76-79,6160-98-58-49
6926-38-21-14,5621-15-79-46
8601-24-65-51,3574-17-27-62
3601-41-24-34,6175-46-57-17
6490-55-76-40,6092-75-12-40
2322-14-5-55,3797-91-83-98
6082-82-26-59,8627-25-72-38
8655-83-73-89,7209-75-32-10
2109-37-63-82,9999-76-37-88
8522-32-47-42,2576-65-25-89
5872-38-90-87,6633-21-16-24
2432-20-85-49,7593-69-18-93
7450-17-85-53,736-45-2-84
9259-19-72-40,6456-60-6-23
6890-68-59-32,6431-59-2-36
2700-62-73-37,8541-41-43-9
8568-50-85-53,6849-16-18-78
9174-15-86-91,2962-9-48-61
5531-56-26-80,756-7-65-81
7599-7-83-51,6761-53-57-32
451-2-29-67,9242-14-19-82
1958-83-48-75,7674-67-5-6
8311-71-80-81,3746-95-94-63
1620-67-10-75,3664-98-80-69
8279-71-85-52,4761-95-80-85
20-96-32-32,412-73-67-44
7-1-24-44,5266-3-8-9
7057-11-26-80,8793-38-84-4
8627-59-9-88,1621-40-1-44
4251-41-75-14,1748-29-38-14
9575-75-84-32,4909-89-57-91
6438-22-23-57,6259-10-31-22
2913-64-96-37,3927-22-71-36
7295-81-4-29,4027-26-30-26
2753-6-1-55,5238-25-77-62
9620-68-6-97,37-47-24-95
5742-58-14-32,5060-43-41-30
3392-88-13-79,4384-46-32-11
7879-4-91-41,3040-34-81-67
2798-67-21-7,3380-33-17-73
2970-32-72-73,1109-25-78-88
6605-67-12-72,643-25-27-45
605-5-16-34,5994-16-96-19
3528-11-36-44,9081-89-20-46
4229-11-11-69,8875-75-64-93
4285-86-67-52,9213-97-11-44
6806-71-58-3,5768-94-57-95
5172-59-38-68,6104-50-98-9
4538-69-72-89,1939-55-56-84
9719-20-67-23,6006-97-21-68
8622-78-28-42,427-99-95-13
7292-46-86-52,341-48-65-31
7207-91-19-66,7179-43-81-10
2237-26-23-55,8149-60-52-82
4753-25-53-56,6265-6-43-30
7851-12-28-64,9473-85-12-17
84-42-14-20,2448-99-14-89
9191-92-10-69,2842-50-43-74
3464-21-65-39,115-39-6-27
765-51-10-9,9719-54-74-33
3947-50-38-9,8700-44-17-23
4010-77-27-41,8454-22-58-66
3622-7-39-24,67-25-42-59
4618-32-69-57,6577-43-69-42
3738-96-98-47,5718-49-40-14
806-48-39-66,2138-60-64-56
1272-75-91-78,3351-41-47-67
4092-13-4-87,962-82-25-21
3528-79-28-87,4541-53-32-17
8453-53-42-79,720-6-6-69
5474-41-20-54,1422-71-79-54
8889-92-11-97,3127-94-4-4
3775-71-41-82,2349-79-56-75
3677-3-25-69,9892-90-31-15
1022-86-62-1,8153-85-66-32
2536-17-70-80,7509-66-49-38
251-3-14-32,6601-91-67-90
6891-82-25-43,3502-59-62-9
6236-11-84-4,5207-23-9-33
3237-58-71-86,6424-9-9-72
6655-55-56-34,3775-61-55-94
976-90-99-99,1992-26-78-18
9901-94-5-36,673-71-85-19
8872-46-33-56,4560-16-1-41
5216-53-95-90,8815-46-86-83
3495-50-44-17,7940-83-60-88
9226-7-25-36,6028-79-43-30
3830-65-96-72,4601-88-90-18
2207-49-17-92,1941-51-35-89
6403-76-68-91,1804-49-34-25
1706-4-49-5,394-35-66-81
5570-52-1-31,2010-21-8-30
3316-73-32-71,5454-84-65-37
1855-9-78-98,2293-72-27-2
2319-89-61-30,7464-57-42-4
5507-4-77-49,2473-93-24-58
8449-88-23-17,1493-40-8-18
7948-41-68-2,131-42-45-76
4279-30-13-12,8900-24-79-58
8704-69-15-96,3508-67-11-59
7743-43-75-64,4866-77-6-97
4715-95-52-55,2947-28-62-7
4264-34-79-54,3169-23-11-43
8962-14-22-17,5167-51-3-42
541-48-29-26,2799-68-96-54
7137-43-6-23,292-6-8-75
9912-21-1-4,612-94-43-71
7009-61-10-76,1321-27-50-32
3088-15-39-46,7834-93-47-74
7347-11-98-79,6403-99-79-49
3356-74-13-81,1843-73-3-70
8773-18-63-40,9001-58-3-84
1607-26-38-9,5007-16-96-34
5188-93-54-2,5974-3-80-60
4454-38-64-54,4577-21-61-36
748-91-4-57,4585-53-84-4
5085-17-74-94,9315-55-41-17
1602-87-94-99,1257-56-92-79
5951-94-12-18,8758-91-43-60
3853-73-16-98,5910-71-29-11
7488-19-77-54,8516-11-30-26
8218-69-39-75,1126-19-12-3
6576-79-87-44,2752-27-60-39
7092-74-92-26,1680-80-8-35
3869-38-10-93,5844-48-3-39
4696-9-92-32,3761-88-45-91
7447-88-13-9,6858-75-62-7
8650-80-6-54,6542-7-4-7
3173-33-19-90,1270-85-61-76
7826-60-58-71,3938-83-51-68
6455-14-62-52,9353-47-21-65
6129-88-39-80,2697-7-66-17
3366-94-36-56,5254-54-17-61
7464-56-56-2,5576-97-72-78
7736-17-43-26,8304-39-58-66
5044-26-42-40,7012-87-23-31
5141-7-4-13,3779-96-71-54
4959-27-45-97,52-80-43-45
1944-21-79-19,1970-35-15-79
3868-57-23-98,8788-80-9-29
6703-21-27-15,1704-86-65-49
207-43-74-41,6874-52-28-83
809-70-5-90,7890-67-91-42
3769-20-70-62,518-40-35-3
3977-47-53-80,6424-27-99-60
91-18-49-6,6690-94-42-45
3844-33-77-30,8346-13-32-3
510-6-25-32,1204-41-33-43
5852-16-31-30,2660-99-55-39
979-34-93-4,8583-28-63-46
457-93-22-1,6851-2-96-66
2444-97-72-89,8623-96-73-55
4960-16-33-23,2326-83-39-28
760-62-15-89,9318-63-78-10
8405-48-96-67,4040-60-48-71
3134-38-27-78,5887-69-36-61
5530-7-38-16,3729-62-14-77
6805-7-12-13,7504-6-4-40
4305-70-59-21,5821-84-37-46
4376-98-56-1,910-83-1-80
2210-39-57-56,4471-52-6-95
2314-64-49-24,8004-51-66-83
3256-36-14-65,5282-21-11-63
3636-54-5-7,2329-41-52-93
4944-54-29-83,2308-99-58-9
9736-80-32-50,5117-54-74-70
3039-49-55-68,5365-89-77-47
739-50-44-69,6599-67-68-78
4094-25-36-85,3487-82-47-26
9472-49-30-20,9671-62-72-47
5058-9-82-61,9541-90-54-25
5103-15-3-59,2478-75-13-3
7364-23-68-44,8231-75-40-62
6444-37-43-12,6114-4-10-69
4153-94-11-85,5088-24-52-59
2113-57-51-8,829-13-89-45
5546-63-5-16,6629-32-58-31
4842-98-52-70,6788-79-84-18
3857-87-2-30,7156-35-27-7
5691-46-99-78,1617-70-37-46
3591-20-94-72,7289-26-28-90
9834-68-15-36,3492-54-38-82
5001-72-73-31,1056-92-86-36
195-69-16-9,8945-50-67-58
4853-91-42-32,5287-41-76-24
1983-92-79-10,2499-76-86-15
5352-99-83-40,6516-52-25-82
5939-84-8-16,8716-34-87-79
2012-30-95-39,8811-15-54-97
7362-1-43-86,590-2-81-58
6274-22-58-79,1154-45-66-55
9608-76-20-97,5837-16-35-31
4799-21-37-52,8820-16-30-32
1905-58-19-69,7148-29-26-96
2448-26-7-73,3021-1-68-75
6554-68-56-19,9013-11-27-57
5731-17-66-56,4352-9-89-40
333-34-38-85,9719-27-77-33
2103-10-24-86,4069-31-68-6
4289-67-19-97,3071-6-80-71
5216-2-12-15,6502-12-12-26
8620-86-22-55,6138-91-48-71
3094-19-27-95,7070-34-46-45
8170-71-31-17,9191-34-23-85
920-4-42-11,6997-52-3-66
8416-60-88-86,8115-56-45-32
637-4-13-22,7246-59-90-58
9238-30-85-87,5427-71-88-7
2549-12-42-37,6091-64-18-91
1480-81-60-56,1365-57-65-92
5714-32-37-32,4885-80-18-49
5283-85-1-53,6911-44-4-6
8160-56-96-35,3434-12-14-48
8931-60-99-50,92-14-30-39
6349-75-66-53,3829-68-39-90
4700-50-36-56,69-6-21-69
7597-37-68-95,5246-51-10-80
1437-37-65-96,5047-98-51-51
1979-29-36-60,2659-52-22-50
1419-20-83-25,2015-51-5-51
2899-42-40-10,1376-47-41-17
776-62-31-86,723-37-17-32
311-91-42-89,7327-75-28-84
9582-83-21-24,5315-91-11-99
261-43-78-82,8036-32-84-44
8302-79-93-66,464-60-15-44
3719-25-65-42,1514-51-14-95
3430-43-8-23,2860-18-69-43
4069-89-68-77,4541-27-52-93
4537-97-50-12,7043-32-67-52
7500-13-46-70,2979-66-66-40
2469-30-85-38,4213-69-38-79
6897-96-23-17,9708-52-30-20
4850-91-35-51,6305-21-14-47
4332-86-13-58,3964-57-19-50
9427-55-2-92,3492-62-51-83
1931-79-33-74,3653-18-54-5
9402-36-77-67,5835-94-92-26
6661-20-49-62,148-41-46-77
4544-29-48-44,8427-96-4-81
9013-34-2-61,7764-49-68-2
2138-77-44-41,5301-5-39-18
1526-57-58-91,7504-69-61-80
2387-65-75-90,450-45-23-98
2197-99-56-77,2273-4-29-91
3804-1-58-5,9941-39-53-65
5441-86-47-61,5983-43-13-93
3114-92-63-92,5148-26-6-87
5668-37-83-85,3839-21-76-78
9477-93-7-75,271-28-30-52
3454-25-16-83,2713-43-23-58
2320-35-66-90,5912-64-4-34
5301-20-19-9,6541-82-20-39
5087-91-57-43,8970-6-13-59
2548-65-12-13,3810-57-28-40
8529-53-38-44,687-56-7-64
6295-44-85-62,4398-13-28-6
8911-54-42-8,3348-65-40-83
5894-28-27-78,1750-75-97-40
1183-81-3-13,6698-68-85-6
149-15-77-58,8931-72-72-17
8408-16-89-2,8078-31-40-97
4769-11-64-23,7873-17-91-86
7632-22-11-90,3970-6-34-47
6165-3-40-21,2301-55-1-13
76-52-20-28,2267-8-76-16
7552-13-88-46,8264-66-58-15
2026-44-74-87,6686-6-11-2
4651-56-3-98,5208-95-56-88
41-34-89-7,7736-49-55-77
502-17-28-35,9486-20-62-2
8897-22-88-63,3228-72-78-30
3306-90-47-27,8277-79-93-78
3325-67-99-72,4924-4-84-24
2475-35-35-70,4067-57-15-9
2582-1-28-69,7466-39-41-41
1320-58-26-55,7450-95-84-14
1920-6-33-6,7705-44-47-13
5-73-89-3,5370-53-60-48
8651-43-43-2,9955-78-44-71
6368-95-70-62,5630-73-46-15
1360-48-87-62,7939-31-26-83
4796-27-77-4,2331-64-44-65
2534-39-23-13,1268-59-95-47
5036-25-49-30,2996-75-49-85
3718-61-5-91,9887-99-25-29
9188-55-27-73,4929-76-86-51
6488-73-42-63,5154-66-70-3
8665-15-8-3,1764-51-53-47
4915-10-43-58,9602-45-37-41
8872-55-95-26,2716-66-90-57
5890-8-11-93,7844-2-57-66
8423-25-65-77,2027-88-11-20
5540-43-7-61,2947-7-75-2
5812-79-13-24,1305-10-38-15
964-93-27-89,8398-33-50-21
7452-82-82-2,9490-80-47-72
8125-95-10-27,9268-66-22-10
1720-6-33-28,3854-45-27-69
8241-68-58-60,3342-18-90-34
3247-54-22-2,4833-23-40-93
5660-61-88-42,8281-62-24-38
5537-1-10-79,2935-18-41-7
9685-62-3-58,5042-99-72-16
2881-11-42-25,7102-68-9-32
3821-55-31-9,6452-5-31-47
9224-30-29-53,5495-73-12-61
6579-6-22-92,9261-83-64-29
1458-76-19-85,9138-19-90-39
427-93-59-49,2350-33-39-52
9322-43-8-62,2916-89-51-46
2678-64-69-50,4460-76-29-16
3366-88-82-44,7015-95-12-22
4703-12-7-12,9450-41-5-98
4806-11-29-84,2837-18-58-9
6324-85-92-13,5351-81-24-49
6411-3-67-24,6648-48-92-51
2006-49-6-86,9256-93-32-8
9952-81-88-75,9287-30-19-76
8993-6-16-92,9877-59-2-71
3133-82-77-30,8620-61-7-32
2326-17-91-77,2461-88-83-68
9041-24-82-51,5215-65-58-98
5246-55-60-56,3912-46-40-53
2711-12-39-78,3725-17-38-91
8921-68-5-98,6396-55-84-45
7486-98-47-86,5723-17-92-59
8062-86-34-60,4419-6-33-79
9696-11-97-58,5235-53-92-65
1658-87-47-25,329-26-61-56
2770-28-57-33,3000-22-82-27
9318-95-62-29,1664-78-23-31
7920-15-53-76,5836-68-58-94
6923-67-59-55,2353-29-84-88
846-17-1-72,7800-93-66-43
7082-47-98-49,7072-39-76-92
4283-4-95-69,7135-14-39-13
3940-61-17-84,8653-88-31-89
3479-67-33-40,3683-67-30-90
8714-25-8-42,5165-82-39-73
2417-20-95-35,9134-19-40-24
3219-44-37-73,1754-83-31-5
2407-67-97-1,8681-53-5-32
9468-79-50-97,9687-96-34-11
6137-15-98-87,3159-29-72-55
3774-64-85-14,3132-28-70-62
2021-42-50-68,7014-1-81-13
8852-19-70-32,1770-22-83-26
7485-98-40-13,8500-88-40-6
1607-86-2-62,1693-98-45-51
8804-3-48-17,9817-93-82-12
7206-50-91-9,333-42-34-72
5003-8-7-41,2406-34-8-31
1581-45-71-75,9383-3-88-7
4902-95-37-38,4170-66-27-59
6066-76-63-32,3118-68-81-34
1188-21-44-87,845-38-62-39
7400-45-85-76,3607-23-97-40
4782-38-33-48,6556-84-59-3
1890-4-6-99,4536-31-50-89
8455-41-93-71,4858-90-45-81
7542-96-4-8,3575-49-73-9
3189-47-74-6,5677-8-37-70
7988-4-66-11,1696-35-73-55
1375-81-99-88,7737-83-26-66
744-9-33-13,1572-52-28-51
5923-67-95-65,5336-55-75-64
9926-4-65-46,7564-31-31-80
6545-83-6-65,4706-76-64-48
7323-23-9-5,2065-54-9-1
4745-78-17-8,7155-33-36-33
507-29-32-68,7057-80-64-54
9802-37-29-47,9918-80-43-84
6402-74-70-10,1251-47-45-88
7362-41-19-22,9319-38-12-77
9092-13-81-35,657-23-14-43
2374-96-32-37,2399-86-77-7
8503-60-55-62,1153-3-29-93
3139-61-16-31,2151-28-77-36
527-17-83-35,8960-89-76-93
9630-19-78-24,6530-39-39-16
7767-77-86-95,5478-53-87-98
1667-9-59-46,1179-99-90-96
5332-31-45-20,7876-6-39-94
9189-67-78-31,7107-88-45-26
5261-97-59-56,8500-88-4-50
2402-67-15-77,5647-39-97-14
6077-82-86-45,881-59-88-86
5978-16-23-12,9275-61-90-43
9072-13-52-38,3608-23-95-73
1752-90-48-52,1625-19-45-43
139-43-18-90,6265-43-92-29
1032-69-99-83,6662-60-22-96
3739-44-69-8,6718-20-93-78
5595-70-7-66,7489-13-96-68
9952-27-78-11,1780-62-38-76
7239-84-1-14,4393-48-3-79
4079-22-97-87,3049-92-86-36
330-66-54-77,5481-40-72-32
10000-65-75-46,2315-58-52-17
6227-31-7-87,7103-57-86-42
1717-80-3-17,3175-29-60-74
1028-36-42-10,3601-3-86-9
5296-49-2-23,4139-79-75-86
496-61-80-1,242-41-50-8
2792-9-95-1,2305-33-34-21
2196-87-64-25,5964-15-27-41
9886-94-23-98,6929-14-37-5
1199-12-57-11,6102-77-40-38
1819-59-43-83,302-61-72-81
8402-57-1-75,6223-20-93-5
7706-16-93-20,9278-92-93-67
7634-70-33-30,5644-7-87-31
8800-97-94-66,9950-24-87-40
9132-87-6-22,8918-36-51-17
2403-77-97-11,1570-26-15-46
1298-19-98-81,1445-94-95-9
4452-50-69-82,7601-58-21-60
1073-11-85-49,253-33-62-74
2720-22-30-56,2468-5-89-98
255-76-82-89,9112-35-32-53
2728-94-34-47,1409-12-8-44
2720-25-23-41,7166-34-11-65
412-91-68-44,5418-45-92-91
4679-27-4-32,7815-12-8-67
1231-18-39-89,434-37-5-80
8422-89-95-95,8840-20-31-10
8645-26-15-35,8773-16-93-66
5461-16-3-39,47-72-64-57
8563-30-59-98,4430-4-25-81
7951-43-32-62,2081-20-89-71
85-8-85-84,7594-28-61-76
6255-16-44-59,3044-5-11-88
8161-58-48-32,7834-94-10-10
899-38-64-68,4071-99-71-34
7248-70-85-63,5614-67-48-80
1612-59-74-44,4180-51-40-92
9723-57-41-54,5614-2-12-17
8281-71-46-41,6198-26-12-26
220-10-38-43,2364-49-61-62
3546-18-13-34,6828-64-16-19
7844-54-33-11,8166-21-69-70
1832-55-14-40,5344-63-96-26
8682-84-29-18,2940-54-8-16
1140-40-38-12,8706-95-6-1
2489-98-86-97,1093-11-83-44
434-6-93-75,7340-9-92-48
5077-89-56-52,7467-74-90-68
4149-56-96-73,6566-66-37-1
1892-15-17-80,10-58-62-23
7786-55-14-92,4139-94-16-58
8295-96-64-24,2823-91-27-48
9311-27-18-25,4194-95-35-61
9187-41-33-67,3330-25-51-98
9451-85-64-27,3679-17-79-2
6072-34-23-64,2696-42-32-88
5197-11-73-48,4447-42-32-76
4227-44-90-74,5607-76-11-40
8298-30-7-24,3175-56-55-57
165-6-83-5,6729-43-16-8
2331-26-85-96,6988-72-20-47
2546-72-31-30,4502-49-75-67
5120-63-43-88,5609-38-26-15
7070-70-79-17,6329-45-12-3
6786-37-62-74,8058-60-4-48
7742-2-34-57,4817-37-6-59
3817-8-87-54,2370-28-7-55
1735-36-91-47,2132-20-58-61
5242-73-12-52,8985-36-16-29
6041-50-3-58,5363-50-97-59
3307-50-44-71,3904-75-84-77
4339-59-28-45,8664-17-27-80
3787-84-87-62,2342-77-69-22
765-37-97-67,6415-87-17-8
5384-72-61-62,4669-8-34-8
7709-22-93-60,7693-70-71-9
4525-59-13-16,6144-5-97-79
5444-38-11-84,2654-3-3-84
